hoja,seccion,columna_excel,encabezado_principal,encabezado_sub,campo_destino,tipo_dato,descripcion
A02,A,G,20 - 24 años,Hombres,c_20_24_anos_hombres,entero,
A02,A,H,,Mujeres,c_20_24_anos_mujeres,entero,
A02,A,I,25 - 29 años,Hombres,c_25_29_anos_hombres,entero,
A02,A,J,,Mujeres,c_25_29_anos_mujeres,entero,
A02,A,K,30 - 34 años,Hombres,c_30_34_anos_hombres,entero,
A02,A,L,,Mujeres,c_30_34_anos_mujeres,entero,
A02,A,M,35 - 39 años,Hombres,c_35_39_anos_hombres,entero,
A02,A,N,,Mujeres,c_35_39_anos_mujeres,entero,
A02,A,O,40 - 44 años,Hombres,c_40_44_anos_hombres,entero,
A02,A,P,,Mujeres,c_40_44_anos_mujeres,entero,
A02,A,Q,45 - 49 años,Hombres,c_45_49_anos_hombres,entero,
A02,A,R,,Mujeres,c_45_49_anos_mujeres,entero,
A02,A,S,50 - 54 años,Hombres,c_50_54_anos_hombres,entero,
A02,A,T,,Mujeres,c_50_54_anos_mujeres,entero,
A02,A,U,55 - 59 años,Hombres,c_55_59_anos_hombres,entero,
A02,A,V,,Mujeres,c_55_59_anos_mujeres,entero,
A02,A,W,60 - 64 años,Hombres,c_60_64_anos_hombres,entero,
A02,A,X,,Mujeres,c_60_64_anos_mujeres,entero,
A02,A,Y,65 - 69 años,Hombres,c_65_69_anos_hombres,entero,
A02,A,Z,,Mujeres,c_65_69_anos_mujeres,entero,
A02,A,AA,70 - 74 años,Hombres,c_70_74_anos_hombres,entero,
A02,A,AB,,Mujeres,c_70_74_anos_mujeres,entero,
A02,A,AC,75 - 79 años,Hombres,c_75_79_anos_hombres,entero,
A02,A,AD,,Mujeres,c_75_79_anos_mujeres,entero,
A02,A,AE,80 y más años,Hombres,c_80_y_mas_anos_hombres,entero,
A02,A,AF,,Mujeres,c_80_y_mas_anos_mujeres,entero,
A02,A,AG,Pueblos Originarios,,pueblos_originarios,entero,
A02,A,AH,Migrantes,,migrantes,entero,
A02,B,A,ESTADO NUTRICIONAL,,estado_nutricional,entero,
A02,B,B,TOTAL,Ambos Sexos,total_ambos_sexos,entero,
A02,B,C,,Hombres,total_hombres,entero,
A02,B,D,,Mujeres,total_mujeres,entero,
A02,B,E,15 - 19 años,Hombres,c_15_19_anos_hombres,entero,
A02,B,F,,Mujeres,c_15_19_anos_mujeres,entero,
A02,B,G,20 - 24 años,Hombres,c_20_24_anos_hombres,entero,
A02,B,H,,Mujeres,c_20_24_anos_mujeres,entero,
A02,B,I,25 - 29 años,Hombres,c_25_29_anos_hombres,entero,
A02,B,J,,Mujeres,c_25_29_anos_mujeres,entero,
A02,B,K,30 - 34 años,Hombres,c_30_34_anos_hombres,entero,
A02,B,L,,Mujeres,c_30_34_anos_mujeres,entero,
A02,B,M,35 - 39 años,Hombres,c_35_39_anos_hombres,entero,
A02,B,N,,Mujeres,c_35_39_anos_mujeres,entero,
A02,B,O,40 - 44 años,Hombres,c_40_44_anos_hombres,entero,
A02,B,P,,Mujeres,c_40_44_anos_mujeres,entero,
A02,B,Q,45 - 49 años,Hombres,c_45_49_anos_hombres,entero,
A02,B,R,,Mujeres,c_45_49_anos_mujeres,entero,
A02,B,S,50 - 54 años,Hombres,c_50_54_anos_hombres,entero,
A02,B,T,,Mujeres,c_50_54_anos_mujeres,entero,
A02,B,U,55 - 59 años,Hombres,c_55_59_anos_hombres,entero,
A02,B,V,,Mujeres,c_55_59_anos_mujeres,entero,
A02,B,W,60 - 64 años,Hombres,c_60_64_anos_hombres,entero,
A02,B,X,,Mujeres,c_60_64_anos_mujeres,entero,
A02,B,Y,65 - 69 años,Hombres,c_65_69_anos_hombres,entero,
A02,B,Z,,Mujeres,c_65_69_anos_mujeres,entero,
A02,B,AA,70 - 74 años,Hombres,c_70_74_anos_hombres,entero,
A02,B,AB,,Mujeres,c_70_74_anos_mujeres,entero,
A02,B,AC,75 - 79 años,Hombres,c_75_79_anos_hombres,entero,
A02,B,AD,,Mujeres,c_75_79_anos_mujeres,entero,
A02,B,AE,80 y más años,Hombres,c_80_y_mas_anos_hombres,entero,
A02,B,AF,,Mujeres,c_80_y_mas_anos_mujeres,entero,
A02,B,AG,Pueblos Originarios,,pueblos_originarios,entero,
A02,B,AH,Migrantes,,migrantes,entero,
A02,C,A,ESTADO DE SALUD,,estado_de_salud,entero,
A02,C,B,TOTAL,Ambos Sexos,total_ambos_sexos,entero,
A02,C,C,,Hombres,total_hombres,entero,
A02,C,D,,Mujeres,total_mujeres,entero,
A02,C,E,15 - 19 años,Hombres,c_15_19_anos_hombres,entero,
A02,C,F,,Mujeres,c_15_19_anos_mujeres,entero,
A02,C,G,20 - 24 años,Hombres,c_20_24_anos_hombres,entero,
A02,C,H,,Mujeres,c_20_24_anos_mujeres,entero,
A02,C,I,25 - 29 años,Hombres,c_25_29_anos_hombres,entero,
A02,C,J,,Mujeres,c_25_29_anos_mujeres,entero,
A02,C,K,30 - 34 años,Hombres,c_30_34_anos_hombres,entero,
A02,C,L,,Mujeres,c_30_34_anos_mujeres,entero,
A02,C,M,35 - 39 años,Hombres,c_35_39_anos_hombres,entero,
A02,C,N,,Mujeres,c_35_39_anos_mujeres,entero,
A02,C,O,40 - 44 años,Hombres,c_40_44_anos_hombres,entero,
A02,C,P,,Mujeres,c_40_44_anos_mujeres,entero,
A02,C,Q,45 - 49 años,Hombres,c_45_49_anos_hombres,entero,
A02,C,R,,Mujeres,c_45_49_anos_mujeres,entero,
A02,C,S,50 - 54 años,Hombres,c_50_54_anos_hombres,entero,
A02,C,T,,Mujeres,c_50_54_anos_mujeres,entero,
A02,C,U,55 - 59 años,Hombres,c_55_59_anos_hombres,entero,
A02,C,V,,Mujeres,c_55_59_anos_mujeres,entero,
A02,C,W,60 - 64 años,Hombres,c_60_64_anos_hombres,entero,
A02,C,X,,Mujeres,c_60_64_anos_mujeres,entero,
A02,C,Y,65 - 69 años,Hombres,c_65_69_anos_hombres,entero,
A02,C,Z,,Mujeres,c_65_69_anos_mujeres,entero,
A02,C,AA,70 - 74 años,Hombres,c_70_74_anos_hombres,entero,
A02,C,AB,,Mujeres,c_70_74_anos_mujeres,entero,
A02,C,AC,75 - 79 años,Hombres,c_75_79_anos_hombres,entero,
A02,C,AD,,Mujeres,c_75_79_anos_mujeres,entero,
A02,C,AE,80 y más años,Hombres,c_80_y_mas_anos_hombres,entero,
A02,C,AF,,Mujeres,c_80_y_mas_anos_mujeres,entero,
A02,C,AG,Pueblos Originarios,,pueblos_originarios,entero,
A02,C,AH,Migrantes,,migrantes,entero,
A02,D,A,ESTADO DE SALUD,,estado_de_salud,entero,
A02,D,B,TOTAL,Ambos Sexos,total_ambos_sexos,entero,
A02,D,C,,Hombres,total_hombres,entero,
A02,D,D,,Mujeres,total_mujeres,entero,
A02,D,E,15 - 19 años,Hombres,c_15_19_anos_hombres,entero,
A02,D,F,,Mujeres,c_15_19_anos_mujeres,entero,
A02,D,G,20 - 24 años,Hombres,c_20_24_anos_hombres,entero,
A02,D,H,,Mujeres,c_20_24_anos_mujeres,entero,
A02,D,I,25 - 29 años,Hombres,c_25_29_anos_hombres,entero,
A02,D,J,,Mujeres,c_25_29_anos_mujeres,entero,
A02,D,K,30 - 34 años,Hombres,c_30_34_anos_hombres,entero,
A02,D,L,,Mujeres,c_30_34_anos_mujeres,entero,
A02,D,M,35 - 39 años,Hombres,c_35_39_anos_hombres,entero,
A02,D,N,,Mujeres,c_35_39_anos_mujeres,entero,
A02,D,O,40 - 44 años,Hombres,c_40_44_anos_hombres,entero,
A02,D,P,,Mujeres,c_40_44_anos_mujeres,entero,
A02,D,Q,45 - 49 años,Hombres,c_45_49_anos_hombres,entero,
A02,D,R,,Mujeres,c_45_49_anos_mujeres,entero,
A02,D,S,50 - 54 años,Hombres,c_50_54_anos_hombres,entero,
A02,D,T,,Mujeres,c_50_54_anos_mujeres,entero,
A02,D,U,55 - 59 años,Hombres,c_55_59_anos_hombres,entero,
A02,D,V,,Mujeres,c_55_59_anos_mujeres,entero,
A02,D,W,60 - 64 años,Hombres,c_60_64_anos_hombres,entero,
A02,D,X,,Mujeres,c_60_64_anos_mujeres,entero,
A02,D,Y,65 - 69 años,Hombres,c_65_69_anos_hombres,entero,
A02,D,Z,,Mujeres,c_65_69_anos_mujeres,entero,
A02,D,AA,70 - 74 años,Hombres,c_70_74_anos_hombres,entero,
A02,D,AB,,Mujeres,c_70_74_anos_mujeres,entero,
A02,D,AC,75 - 79 años,Hombres,c_75_79_anos_hombres,entero,
A02,D,AD,,Mujeres,c_75_79_anos_mujeres,entero,
A02,D,AE,80 y más años,Hombres,c_80_y_mas_anos_hombres,entero,
A02,D,AF,,Mujeres,c_80_y_mas_anos_mujeres,entero,
A02,D,AG,Pueblos Originarios,,pueblos_originarios,entero,
A02,D,AH,Migrantes,,migrantes,entero,
A03,A.1,A,EVALUACIONES POR EDAD DEL NIÑO,,evaluaciones_por_edad_del_nino,entero,
A03,A.1,C,TOTAL,,total,entero,
A03,A.1,F,RANGO ETARIO Y SEXO,Menos de 1 mes,rango_etario_y_sexo_menos_de_1_mes,entero,
A03,A.1,H,,1 mes,rango_etario_y_sexo_1_mes,entero,
A03,A.1,J,,2 meses,rango_etario_y_sexo_2_meses,entero,
A03,A.1,L,,3 meses,rango_etario_y_sexo_3_meses,entero,
A03,A.1,N,,4 meses,rango_etario_y_sexo_4_meses,entero,
A03,A.1,P,,5 meses,rango_etario_y_sexo_5_meses,entero,
A03,A.1,R,,6 meses,rango_etario_y_sexo_6_meses,entero,
A03,A.1,T,,7 - 11 meses,rango_etario_y_sexo_7_11_meses,entero,
A03,A.1,V,,12 - 17 meses,rango_etario_y_sexo_12_17_meses,entero,
A03,A.1,X,,18 - 24 meses,rango_etario_y_sexo_18_24_meses,entero,
A03,A.2,A,ACTIVIDAD,,actividad,texto,
A03,A.2,B,RESULTADO,,resultado,entero,
A03,A.2,C,TOTAL,,total,entero,
A03,A.2,F,RANGO ETARIO Y SEXO,Menos de 7 meses,rango_etario_y_sexo_menos_de_7_meses,entero,
A03,A.2,H,,7 - 11 meses,rango_etario_y_sexo_7_11_meses,entero,
A03,A.2,J,,12 - 17 meses,rango_etario_y_sexo_12_17_meses,entero,
A03,A.2,L,,18 - 23 meses,rango_etario_y_sexo_18_23_meses,entero,
A03,A.2,N,,24 - 47 meses,rango_etario_y_sexo_24_47_meses,entero,
A03,A.2,P,,48 - 59 meses,rango_etario_y_sexo_48_59_meses,entero,
A03,A.2,R,Pueblos Originarios,,pueblos_originarios,entero,
A03,A.2,S,Migrantes,,migrantes,entero,
A03,A.3,A,NIÑO / A,,nino_a,entero,
A03,A.3,B,TOTAL,,total,entero,
A03,A.3,E,RANGO ETARIO Y SEXO,Menos de 7 meses,rango_etario_y_sexo_menos_de_7_meses,entero,
A03,A.3,G,,7 - 11 meses,rango_etario_y_sexo_7_11_meses,entero,
A03,A.3,I,,12 - 17 meses,rango_etario_y_sexo_12_17_meses,entero,
A03,A.3,K,,18 - 23 meses,rango_etario_y_sexo_18_23_meses,entero,
A03,A.3,M,,24 - 47 meses,rango_etario_y_sexo_24_47_meses,entero,
A03,A.3,O,,48 - 59 meses,rango_etario_y_sexo_48_59_meses,entero,
A03,A.3,Q,Pueblos Originarios,,pueblos_originarios,entero,
A03,A.3,R,Migrantes,,migrantes,entero,
A03,A.4,A,RESULTADOS,,resultados,entero,
A03,A.4,B,TOTAL,,total,entero,
A03,A.4,E,RANGO ETARIO Y SEXO,1 mes,rango_etario_y_sexo_1_mes,entero,
A03,A.4,G,,2 meses,rango_etario_y_sexo_2_meses,entero,
A03,A.4,I,Pueblos Originarios,,pueblos_originarios,entero,
A03,A.4,J,Migrantes,,migrantes,entero,
A03,A.5,A,TIPO DE ALIMENTACIÓN,,tipo_de_alimentacion,texto,
A03,A.5,C,TOTAL,,total,entero,
A03,A.5,D,SEGÚN CONTROL PROGRAMÁTICO,Diada hasta 10 días de vida,segun_control_programatico_diada_hasta_10_dias_de_vida,entero,
A03,A.5,E,,Diada entre 11 y 28 días de vida,segun_control_programatico_diada_entre_11_y_28_dias_de_vida,entero,
A03,A.5,F,,Del 1° mes,segun_control_programatico_del_1deg_mes,entero,
A03,A.5,G,,Del 3° mes,segun_control_programatico_del_3deg_mes,entero,
A03,A.5,H,,Del 6° mes,segun_control_programatico_del_6deg_mes,entero,
A03,A.5,I,,Del 12° mes,segun_control_programatico_del_12deg_mes,entero,
A03,A.5,J,,Del 24° mes,segun_control_programatico_del_24deg_mes,entero,
A03,A.5,K,Pueblos Originarios,,pueblos_originarios,entero,
A03,A.5,L,Migrantes,,migrantes,entero,
A03,A.6,A,RESULTADO,,resultado,entero,
A03,A.6,B,TOTAL,,total,entero,
A03,A.6,E,RANGO ETARIO Y SEXO,3 meses,rango_etario_y_sexo_3_meses,entero,
A03,A.6,G,,4 meses,rango_etario_y_sexo_4_meses,entero,
A03,A.6,I,Pueblos Originarios,,pueblos_originarios,entero,
A03,A.6,J,Migrantes,,migrantes,entero,
A03,B.1,A,ESTADO NUTRICIONAL,Obesa,estado_nutricional,entero,
A03,B.1,B,TOTAL,0,total_0,entero,
A03,B.2,A,TIPO,Evaluación al ingreso,tipo_evaluacion_al_ingreso,texto,
A03,B.2,B,Total de Aplicaciones,37,total_de_aplicaciones_25,entero,
A03,B.2,C,Con riesgo psicosocial,14,con_riesgo_psicosocial_10,entero,
A03,B.2,D,Violencia de Género,1,violencia_de_genero_1,entero,
A03,B.2,E,3 o más riesgos psicosociales,2,c_3_o_mas_riesgos_psicosociales_1,entero,
A03,B.2,F,Plan de equipo de cabecera en gestantes con 3 o más riesgos psicosociales,0,plan_de_equipo_de_cabecera_en_gestantes_con_3_o_mas_riesgos_psi,entero,
